name,ring,quadrant,isNew,description
Golang,Adopt,languages,FALSE
Python,Adopt,languages,FALSE
Kotlin,Adopt,languages,FALSE
Swift,Adopt,languages,FALSE
PostgreSQL,Adopt,data management,FALSE,
RabbitMQ,Adopt,data management,FALSE,
FastAPI,Adopt,frameworks & libraries,FALSE,
Pydantic,Adopt,frameworks & libraries,FALSE,
echo,Adopt,frameworks & libraries,FALSE,
Grafana,Adopt,platform & infrastructure,FALSE,
Prometheus,Adopt,platform & infrastructure,FALSE,
Jaeger,Adopt,platform & infrastructure,FALSE,
Loki,Adopt,platform & infrastructure,FALSE,
k8s,Adopt,platform & infrastructure,FALSE,
YandexCloud,Adopt,platform & infrastructure,FALSE,
Nginx,Adopt,platform & infrastructure,FALSE,
Sentry,Trial,platform & infrastructure,FALSE,
